candidate_id,rank,score,reasoning
CAND_0018499,1,0.8963,"This candidate is a Senior Machine Learning Engineer bringing 7.2 years of experience to the table. Core competencies include Deep Learning, Weaviate, Recommendation Systems. Their high GitHub activity score (94) shows strong open-source engagement. A short 15-day notice period means they can join the founding team quickly."
CAND_0068811,2,0.8512,"Currently employed as a Applied ML Engineer, they possess a solid 8.0 years of active engineering history. A strong background in Data Science, Vector Search, Speech Recognition makes them a relevant fit. A short 30-day notice period means they can join the founding team quickly. Being local to Pune, Maharashtra is a significant advantage for the hybrid model."
CAND_0094759,3,0.8463,"This candidate is a Lead AI Engineer bringing 8.6 years of experience to the table. A strong background in Prompt Engineering, scikit-learn, Hugging Face Transformers makes them a relevant fit. A short 30-day notice period means they can join the founding team quickly. Located in Mumbai, Maharashtra, they would require relocation to the Pune or Noida office."
CAND_0088335,4,0.8161,"An experienced AI Research Engineer with 6.4 years under their belt. Core competencies include Hugging Face Transformers, Flask, Data Science. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model. A short 30-day notice period means they can join the founding team quickly."
CAND_0007009,5,0.8152,"Working as a Recommendation Systems Engineer, this applicant has 7.9 years of professional background. Core competencies include Statistical Modeling, ETL, Weaviate. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model. A short 30-day notice period means they can join the founding team quickly."
CAND_0041669,6,0.8146,"An experienced Recommendation Systems Engineer with 8.0 years under their belt. They demonstrate deep expertise across FAISS, Milvus, PEFT. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model. Their high GitHub activity score (70) shows strong open-source engagement."
CAND_0018888,7,0.8041,"Working as a AI Research Engineer, this applicant has 6.5 years of professional background. A strong background in Diffusion Models, GANs, MLflow makes them a relevant fit. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model. A short 30-day notice period means they can join the founding team quickly."
CAND_0083879,8,0.8036,"Currently employed as a Machine Learning Engineer, they possess a solid 7.1 years of active engineering history. Their technical stack heavily features MLOps, Fine-tuning LLMs, Milvus. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model. Lack of visible GitHub activity makes it harder to assess coding habits offline."
CAND_0037566,9,0.8013,"This candidate is a Machine Learning Engineer bringing 6.9 years of experience to the table. Core competencies include Pinecone, Time Series, LlamaIndex. Located in Bangalore, Karnataka, they would require relocation to the Pune or Noida office. Their high GitHub activity score (73) shows strong open-source engagement."
CAND_0061257,10,0.8011,"Currently employed as a Staff Machine Learning Engineer, they possess a solid 8.0 years of active engineering history. A strong background in PEFT, Haystack, Time Series makes them a relevant fit. A short 30-day notice period means they can join the founding team quickly. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model."
CAND_0050454,11,0.7999,"Currently employed as a AI Engineer, they possess a solid 6.8 years of active engineering history. Core competencies include PyTorch, LangChain, QLoRA. Lack of visible GitHub activity makes it harder to assess coding habits offline. Located in Delhi, Delhi, they would require relocation to the Pune or Noida office."
CAND_0091745,12,0.7977,"An experienced Junior ML Engineer with 5.9 years under their belt. They demonstrate deep expertise across PostgreSQL, Deep Learning, Embeddings. Being local to Pune, Maharashtra is a significant advantage for the hybrid model. A short 30-day notice period means they can join the founding team quickly."
CAND_0091534,13,0.7813,"Currently employed as a AI Engineer, they possess a solid 16.6 years of active engineering history. Core competencies include Hugging Face Transformers, scikit-learn, Diffusion Models. A short 30-day notice period means they can join the founding team quickly. Located in Gurgaon, Haryana, they would require relocation to the Pune or Noida office."
CAND_0046525,14,0.7796,"Working as a Senior Machine Learning Engineer, this applicant has 6.1 years of professional background. Their technical stack heavily features Elasticsearch, Redux, LangChain. They are highly responsive on the platform (88% response rate). A potential concern is the extended 60-day notice period."
CAND_0074486,15,0.7767,"An experienced Computer Vision Engineer with 5.5 years under their belt. A strong background in OpenSearch, MLflow, Hugging Face Transformers makes them a relevant fit. Their high GitHub activity score (68) shows strong open-source engagement. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model."
CAND_0068932,16,0.7732,"Working as a ML Engineer, this applicant has 5.2 years of professional background. Their technical stack heavily features Marketing, JavaScript, Agile. They are highly responsive on the platform (82% response rate). Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model."
CAND_0098217,17,0.7696,"This candidate is a ML Engineer bringing 6.4 years of experience to the table. Core competencies include Weights & Biases, PEFT, MLflow. Their high GitHub activity score (80) shows strong open-source engagement. They carry a standard notice period of 45 days."
CAND_0087630,18,0.7656,"Working as a AI Engineer, this applicant has 7.2 years of professional background. A strong background in Data Science, GANs, ASR makes them a relevant fit. Located in Gurgaon, Haryana, they would require relocation to the Pune or Noida office. A short 30-day notice period means they can join the founding team quickly."
